vin	model	model_year	description	manufacturer	condition	vehicle_type	horsepower	fuel_type	colors	purchase_date	purchase_price	customer_seller	inventory_clerk	sale_date	customer_buyer	salesperson
3TJM4LZERLL108705	ACCENT	2008	unibody construction; 	Hyundai	Very Good	Sedan	164	Gas	Yellow	2023-04-25	6408.60	084398382	user17	2023-08-04	491580595	user19
41DPYVQZCO3181476	AVENTADOR	2012	automatic torque converter; 	Lamborghini	Fair	Minivan	204	Gas	Black	2022-12-01	16141.16	694670985	user02	2023-07-15	480436640	user16
42JDWI0F3D2375784	ALBEA	2009	can be used as sports car; unibody construction; 	FIAT	Excellent	Minivan	247	Plugin Hybrid	Rust	2023-07-11	9822.27	845147047	user24	2023-07-11	079459924	user19
447NADHKNTP823552	ROADSTER	2008	safe oil ring; 	Tesla	Fair	Truck	252	Gas	Aluminum,Copper,Turquoise	2023-04-03	11432.54	613205626	user02	2023-07-08	531825735	user06
4B5O8UZKPBZ854920	HHR	2008		Chevrolet	Fair	Van	316	Gas	Aluminum,Copper	2022-07-04	7131.61	850547815	user24	2023-08-30	613205626	user25
4GHCRLJOKT6083540	P7	2023	great stabilizer bar; 	XPeng	Very Good	Coupe	301	Gas	Maroon,Yellow	2023-05-25	18636.42	626322844	user10	2023-08-09	591437032	user16
4HPEB1IJDDY354518	WRANGLER	2007	good piston; 	Jeep	Very Good	Coupe	380	Plugin Hybrid	Copper	2023-02-28	4397.12	234661232	user07	2023-03-02	061387114	user06
4IHUPZ7L3E4517493	R1S NEW	2023	automatic safety features; air filtration system; modern dashboard; 	Rivian	Excellent	Coupe	276	Plugin Hybrid	Green	2022-10-05	25809.19	591437032	user05	2022-10-26	769826911	user16
52J1ULU58OB110991	COROLLA	2005	front axle assembly; drive shaft; 	Toyota	Very Good	CUV	297	Gas	Black,Red	2022-10-15	4833.43	867493304	user21			
54SZY4MKO6C114660	RAPIDE	2013	strong muffler; 	Aston Martin	Fair	Coupe	342	Fuel Cell	Red	2023-02-22	10253.15	216554083	user07	2023-08-17	955155656	user19
5MLXXEBOXNC754707	PATRIOT	2008	safe oil ring; engine displacement; 	Jeep	Fair	Van	334	Natural Gas	Brown	2023-05-03	6958.56	621462808	user20	2023-08-03	381212216	user06
5OU82GIFAQ3021868	SONATA	2012	rear wheel drive; automatic valves; 	Hyundai	Very Good	Convertible	160	Diesel	Pink,White	2023-07-25	10503.82	349754202	user24	2023-07-28	804412234	user06
5PUIFVQ6V3R308628	GRANTURISMO	2012		Maserati	Fair	Minivan	204	Gas	Claret,Gray	2022-10-24	5147.80	563576825	user18			
5QPBC4N5SPV612486	POLO	2013	station wagon (Also known as wagon.); 	Volkswagen	Very Good	Sedan	215	Hybrid	Brown	2022-09-29	4498.31	043141609	user15			
5RLTD3PDG7P142502	PHAETON	2004	unibody construction; superturbocharger; 	Volkswagen	Good	SUV	284	Gas	Green	2022-08-29	4365.50	234661232	user20			
60RPWRGZXAL689666	QUATTROPORTE	2011	very hard struts; ultra new transmission; hatchback; 	Maserati	Excellent	Truck	305	Diesel	Green	2023-05-26	5142.06	891541922	owner			
63IMJ2UQAPP800193	BOXSTER	2006	wide chassis; small spark plug gap; 	Porsche	Very Good	Coupe	389	Diesel	Green	2023-04-01	7719.63	559840282	user15			
6A6NQP7GZG0782604	P7	2021	great rpms; best radiator; 	XPeng	Very Good	CUV	300	Gas	Claret	2022-11-10	13266.07	565447868	owner			
6KAIF8AC3KG769914	DTS	2007	best suspension; 	Cadillac	Excellent	Convertible	155	Natural Gas	Yellow	2022-12-13	13087.82	519824004	user20	2023-07-09	334676702	user23
6O3JWO1Q4FP773157	G9	2022	great engine; great engine; 	XPeng	Excellent	Sedan	158	Gas	Turquoise	2023-01-05	14036.20	047228901	user07	2023-08-04	325090516	owner
6YHX7GHFZAR683239	R1T	2023		Rivian	Good	Van	341	Gas	Claret,Rose	2023-03-23	10410.04	886885026	user11	2023-03-24	524692391	user19
77YSCOERITP460658	MX-5 MIATA	2015	broad wheelbase; 	MAZDA	Very Good	Truck	310	Gas	Tan	2022-12-08	6374.91	168032201	user07			
7CY2WHON846872713	XK8	2006	pickup; 	Jaguar	Excellent	Truck	336	Gas	Claret,Red	2022-12-08	10623.74	672131657	user24	2023-02-17	845147047	user23
7D8A8QCVRII360920	F650GS	2003	convertible; 	BMW	Very Good	Convertible	172	Gas	Purple	2023-03-17	3232.97	566053758	user15	2023-07-27	801084912	owner
7DCA7GIBSL3385548	LAND CRUISER	2013		Toyota	Fair	Van	339	Gas	Rust	2023-01-13	7639.87	753836489	user21			
7DGPXJB8CVD797363	HIACE	2010	manual transmission; automatic torque converter; 	Toyota	Excellent	Sedan	111	Gas	Brown,Maroon,Metallic	2022-07-21	8351.52	682584187	user24	2023-02-18	585189026	owner
7HMSLYNNGHJ439820	CRF50F	2007	front axle assembly; no redline; 	Honda	Excellent	Minivan	253	Battery	Claret,Gold,Orange	2022-12-16	3040.93	812418597	user13			
7JA8DZH7CN4199183	SL600	2011		Mercedes-Benz	Fair	Convertible	165	Gas	Gold	2023-02-09	6178.89	249565760	user10			
7L2HF63NS64790085	TL	2004	sturdy rear axle assembly; 	Acura	Very Good	CUV	325	Gas	Maroon	2023-03-26	2052.36	018533690	user15			
7LOJS05DQA3004955	ACCENT	2014	engine displacement; 	Hyundai	Excellent	Minivan	198	Gas	Blue	2022-11-02	7639.79	643263338	user20	2023-05-05	482826267	user16
7NZJI4NR80U192007	RANGE ROVER SPORT	2009	front wheel drive; active safety features; 	Land Rover	Good	CUV	296	Gas	Rose	2022-09-21	3468.00	886885026	owner			
7QRXAX01CS1186500	MP4-12C	2013		McLaren	Very Good	Minivan	256	Gas	Orange	2022-12-10	5183.04	595283241	owner			
7RCMKD0P62B359074	IMPALA	2008	front axle assembly; 	Chevrolet	Fair	Convertible	174	Gas	Aluminum,Red	2022-08-15	7384.81	983685043	user02	2023-02-21	954824113	owner
7TQARECS56V791799	HILUX	2012	autotachometer; 	Toyota	Very Good	Coupe	382	Diesel	Orange	2023-06-05	3891.39	138971205	user07	2023-08-21	531825735	user23
7XQ1OO4FTRB936926	FX45	2003	best sedan; 	INFINITI	Good	Sedan	130	Gas	Maroon	2023-05-29	3047.87	824643871	user18			
7Z0JVSYGTZW815756	ATS	2013	coupe; 	Cadillac	Excellent	SUV	283	Gas	Silver	2023-04-23	13074.65	826754590	user07	2023-06-13	006502052	owner
8FB7BNANRI4354099	ES330	2006	sturdy rear axle assembly; 	Lexus	Fair	Convertible	184	Diesel	Blue	2022-09-13	3584.70	313904048	user12			
8H3HKCNSFNN008758	ILX	2015		Acura	Excellent	Van	312	Gas	Aluminum	2022-11-05	14014.45	988602508	user12	2023-05-27	421317175	user04
8HR5FE1G22P233789	GHIBLI	2014	check the Monroney sticker - theer is nothing better than this vehicle; best possible traction; 	Maserati	Very Good	Truck	345	Gas	Navy	2022-07-17	21929.28	824643871	user05			
8UQ6FLIO3Q2734346	KA	2005	original equipment manufacturer (OEM) parts; 	Ford	Very Good	SUV	311	Diesel	Yellow	2023-08-03	3593.80	860241229	user18			
8VB5KTBJX2A046744	W5500 TILTMASTER	2007	great engine; 	Chevrolet	Excellent	SUV	323	Natural Gas	Beige	2023-01-11	2424.44	006502052	user11	2023-02-14	416352320	owner
A2NH51AUNR4312326	RAM 2500	2009	great engine; 	Dodge	Good	SUV	360	Diesel	Turquoise	2022-12-17	7843.77	595283241	user10	2023-03-19	349754202	user25
A35CVWAPCGY561956	NAVIGATOR	2002	super new ignition system; broad wheelbase; 	Lincoln	Excellent	SUV	330	Hybrid	Bronze	2023-04-20	1501.72	732317837	user09	2023-06-12	784939607	user06
A46MVF2CB4I965254	VERACRUZ	2012		Hyundai	Excellent	Truck	291	Gas	Tan	2023-07-10	18320.99	753836489	owner			
A4LJMRR8IYC935453	DEFENDER	2012	supernew catalytic converter; 	Land Rover	Very Good	Coupe	227	Gas	Brown	2023-05-07	9154.39	313904048	user18	2023-07-18	355956538	user19
A51QFDDJ7J7514581	KA	2006	can be used as sports car; 	Ford	Fair	Coupe	377	Fuel Cell	Turquoise	2023-05-18	4186.90	934237940	user13	2023-05-29	563576825	user16
A67JHQ2EJUP880876	ELANTRA	2002		Hyundai	Fair	Sedan	166	Gas	Black,Gold	2022-08-28	3655.26	047228901	user18	2023-03-19	983685043	user06
AA0LZIX8DGI937291	POINTER	2002		Volkswagen	Excellent	Minivan	195	Gas	Black	2022-10-02	5850.06	631146418	user13	2023-01-27	480355246	user23
AAHKBQNPZ5Q155263	NSX	2005	automatic transmission; 	Acura	Fair	Minivan	215	Plugin Hybrid	Yellow	2022-07-19	3179.08	903089507	user15			
AB7D5GUATWA988114	TRIBUTE	2003	hydraulic brakes; 	MAZDA	Good	Coupe	394	Diesel	Pink	2022-10-23	1631.33	491580595	user20			
AE23FNQ4ECZ859800	COOPER	2012	wide transaxle; 	MINI	Good	SUV	317	Gas	Blue	2023-01-31	4343.36	945585317	user15			
AG15D1BT811693167	ARNAGE	2008	drive shaft; 	Bentley	Fair	Convertible	190	Gas	Silver	2023-01-18	5694.51	798921658	user07	2023-01-26	891541922	user06
AJC7BO3XDGF951357	CBR600RR	2012	very hard struts; 	Honda	Excellent	SUV	335	Gas	Cream	2022-10-01	11488.95	613205626	user15	2023-04-14	917146407	user04
AKEXMUEW2XP076382	EMGRAND L	2021	convertible; 	Geeley	Very Good	SUV	384	Gas	Gray	2023-02-20	6338.49	971509095	user15	2023-07-31	033375455	user04
AKWG2XQFZ8Z338505	NP300	2011	crankcase; 	Nissan	Good	SUV	275	Hybrid	White	2022-09-15	5225.87	532449344	user13			
ALPWS6CXQO6590947	OUTBACK	2005	no backfire/backfiring; 	Subaru	Fair	Convertible	195	Gas	Beige	2023-01-31	4596.52	811807619	user10	2023-06-01	321594201	user25
AUP647YMZFB601236	MKS	2014	drum brake; 	Lincoln	Fair	Coupe	315	Gas	Maroon	2022-10-31	3250.48	106986447	user24			
B03S4ENKKNP478278	ES8 NEW	2023	innovative air bags; no backfire/backfiring; 	Nio	Very Good	CUV	324	Gas	Gold	2023-02-09	10902.94	778214839	user20	2023-03-23	138971205	user19
B5P0N13LMX0012355	COMMANDER	2006	best sedan; 	Jeep	Fair	SUV	279	Gas	Navy	2023-04-16	6871.00	171405708	user17			
B618X4DTE8R162599	599 GTO	2011	very hard struts; oversteer; 	Ferrari	Very Good	CUV	278	Gas	Cream	2023-01-04	12326.43	381212216	user12	2023-07-27	249565760	user03
BD1DYEOR4HZ412125	COOPER	2010	broad wheelbase; 	MINI	Very Good	SUV	343	Gas	Pink	2023-05-01	4187.77	565447868	user20	2023-08-19	938929270	user25
BQS2CJ56IBQ176739	REGAL	2004	modern dashboard; disc brake; 	Buick	Very Good	Van	365	Fuel Cell	Tan	2023-02-23	2372.18	934237940	user11	2023-07-21	406460369	user16
BXQH0W1NGWT830685	R1S	2023	drive shaft; 	Rivian	Very Good	CUV	251	Gas	Green	2023-02-12	30724.61	722473507	user15	2023-03-31	861158388	user23
C2RVH3HKPQZ794006	535I GT	2012	manual transmission; active safety features; front axle assembly; 	BMW	Good	Minivan	191	Gas	Turquoise	2022-10-23	13532.98	823731374	user18	2023-03-28	983685043	user25
CB65LOSQY7V342457	V12 VANTAGE	2013	automatic transmission; 	Aston Martin	Good	Convertible	179	Gas	Turquoise	2022-12-28	4576.65	084398382	user09	2023-06-28	303794079	user03
CIKZXLNQWQ3050265	EXIGE	2008	manual transmission; 	Lotus	Excellent	Truck	299	Gas	Brown,Maroon	2023-05-31	8880.21	003094340	user15	2023-06-12	559983722	user06
CN2YIBCUFSQ512071	LX470	2005	automatic valves; 	Lexus	Good	Convertible	179	Gas	Brown,White	2022-07-14	11840.89	843028835	user24	2023-01-07	801084912	user19
CO7AJWOLKX5663458	SIERRA 1500 HD	2005	sturdy rear axle assembly; 	GMC	Good	SUV	397	Battery	Claret	2022-07-05	1727.51	692263332	user02			
CRB7J3UXZ61575642	EMGRAND S	2021	unibody construction; overdrive; high block; 	Geeley	Excellent	CUV	382	Hybrid	Blue	2023-02-12	19647.42	087754715	user13	2023-06-08	867022384	owner
CSNPRAPWVLK077155	EVORA	2012	original equipment manufacturer (OEM) parts; 	Lotus	Very Good	Truck	301	Gas	Brown	2023-05-10	7648.40	804412234	user21			
CTHLSVQRDHK945534	VANDEN PLAS	2004	rack and pinion steering; automatic torque converter; 	Jaguar	Very Good	CUV	221	Gas	Beige	2023-01-02	6738.97	804908519	user11	2023-03-25	778214839	user16
CXQF7TZKIH0415109	RL	2010		Acura	Fair	Truck	253	Gas	Bronze	2022-12-19	3069.14	510679263	user07	2023-08-10	131693048	user23
CYQY2QF8RNA506595	DISCOVERY	2015	autotachometer; power train; 	Land Rover	Good	Coupe	227	Gas	Purple	2022-11-25	4980.83	181883107	user02			
DD7UUCMRURY754125	CAYENNE	2003	minivan; 	Porsche	Excellent	Van	307	Diesel	Black,Cream	2023-06-27	3752.18	753836489	user11			
DKYDDY0GPGN009571	ELANTRA	2003	crumple zones; 	Hyundai	Good	Convertible	186	Gas	Cream,Metallic,Purple	2023-03-23	4615.86	018533690	user02	2023-05-26	732317837	owner
DLCCHFQS6JE933115	GS-6 PROS	2023	wide cam; high block; 	Karma	Good	Minivan	222	Hybrid	Black	2023-02-04	21262.24	666306027	user11	2023-03-28	626322844	owner
DLDOWAZWISG772813	ML550	2009	hydraulic brakes; 	Mercedes-Benz	Excellent	Coupe	352	Gas	Brown,Tan	2022-12-11	8522.45	181883107	user12			
DOR3YLSX4O5307917	S8	2003	rear wheel drive; 	Audi	Good	CUV	283	Gas	Bronze,Green,Turquoise	2023-02-11	1383.31	566053758	user02	2023-04-09	084398382	user23
DQ5QCUL84PJ297334	TJ	2005	power train; 	Jeep	Good	Convertible	162	Hybrid	Copper	2022-12-08	7191.16	845147047	user15	2023-05-08	156194593	user06
DTPFWL37FTZ702472	ML63 AMG	2014	super new ignition system; front wheel drive; power train; 	Mercedes-Benz	Very Good	Van	347	Gas	Navy	2022-10-26	18928.51	867493304	user11	2022-11-20	043141609	user25
DXFJFHB2O8J213290	EXPRESS 3500	2004	crankcase; 	Chevrolet	Fair	Sedan	236	Plugin Hybrid	Maroon	2023-07-05	5515.20	482042583	user09	2023-07-11	753836489	user25
E40MBYWNZSL194135	SHARAN	2006	sturdy rear axle assembly; 	Volkswagen	Very Good	Minivan	209	Gas	Bronze	2023-06-02	4286.51	203112624	user24			
ECEPA3GAEIK299733	XLR	2009	can be used as sports car; 	Cadillac	Excellent	Truck	254	Plugin Hybrid	Maroon	2023-07-27	4531.68	189578947	user17	2023-08-11	624839974	user06
EE1BIYLSYRH856452	GS-6	2021		Karma	Good	Convertible	170	Gas	Black,Gray,White	2023-04-15	9728.48	334676702	user18	2023-07-19	740611372	user06
EIA3R8DZFZH945841	OUTLANDER	2005		Mitsubishi	Fair	Sedan	235	Battery	Yellow	2023-01-03	4342.29	811807619	user07	2023-06-10	629812240	user16
ETXMDO17CH5710002	QX80	2015	manual transmission; 	INFINITI	Fair	Convertible	158	Gas	Tan	2023-02-26	3479.09	171405708	user13	2023-08-16	131693048	user04
EURVOJ6RTMZ196274	4C	2015	gap; 	Alfa Romeo	Very Good	Sedan	206	Battery	Pink	2022-09-21	8147.70	291505280	user02			
F7LIAJMEUB4950361	R1T	2023	best possible traction; 	Rivian	Fair	CUV	233	Gas	Metallic	2022-09-01	10442.48	685291728	user17			
FBQBTRRHZVG159504	GALLARDO	2011	high quality carburetor; 	Lamborghini	Very Good	Minivan	182	Gas	Beige	2023-01-16	3053.40	349754202	user02	2023-05-31	624839974	user19
FBW1SNMBJRO366159	MITO	2015	unibody construction; anti-lock brake system (ABS); wide cam; 	Alfa Romeo	Excellent	Convertible	173	Gas	Blue	2022-08-17	6915.28	303794079	owner	2022-10-20	058642805	user19
FC6FEI1DRRR729956	SEDAN	2002	great rpms; 	Volkswagen	Excellent	Convertible	180	Hybrid	Claret	2022-07-15	3552.07	524692391	user21	2023-02-16	313904048	owner
FLTEHVIT7TR845477	A3	2007		Audi	Good	CUV	357	Diesel	Copper,Green,Yellow	2023-01-29	5600.49	181883107	user20	2023-06-05	913927038	user23
FPS6SWVNJ46262208	SANTA FE	2002	high volume cylinder; great engine; 	Hyundai	Excellent	Minivan	219	Gas	Yellow	2023-01-09	3135.14	180557460	user07	2023-06-28	329866577	user03
FTU4SK7135C710080	S	2012	best oil pump; 	Tesla	Very Good	SUV	391	Hybrid	Bronze	2022-09-14	6804.90	963631015	user24	2023-05-27	316142239	user04
G3GBYJSRTYT942116	535I	2009	automatic safety features; electronic transmission; super new ignition system; 	BMW	Excellent	Coupe	397	Battery	Aluminum	2022-08-17	10509.04	171405708	user07	2023-02-02	754703247	user23
G3UZL1VEZEM344261	REGAL	2003	sturdy rear axle assembly; 	Buick	Excellent	Convertible	185	Hybrid	Brown	2022-09-22	2099.55	279776839	user17			
G4PAVREW7K2826838	DB9	2012	automatic transmission; 	Aston Martin	Very Good	Coupe	324	Gas	Blue	2022-12-17	10959.72	416352320	user17	2023-07-03	804412234	user04
GDXK0JVJI0R636667	FM-SP	2002		Mitsubishi	Very Good	Sedan	154	Hybrid	Aluminum,Black,Red	2023-08-15	1912.34	006351430	user13	2023-08-22	139932987	user16
GH8SBHTMEBB721980	GRANDE PUNTO	2007	rear wheel drive; supernew catalytic converter; great stabilizer bar; 	FIAT	Very Good	Van	351	Gas	Copper	2022-11-10	9404.22	416352320	user18			
GHMZYD6YMKB413330	PATHFINDER	2006		Nissan	Excellent	Convertible	163	Gas	Blue,Silver	2022-10-16	2864.49	006502052	user17			
GJWDBBORYJD234673	TSURU	2006		Nissan	Fair	Minivan	195	Gas	Silver	2023-06-14	8834.46	988602508	user09	2023-07-29	847939559	user16
GMBNKKL7OGQ240104	DB9	2013	sturdy rear axle assembly; automatic safety features; pickup; 	Aston Martin	Excellent	SUV	355	Fuel Cell	Purple	2022-10-09	10936.57	321594201	user15			
GMLZ3HXD33V025329	M45	2003		INFINITI	Excellent	Convertible	167	Battery	Purple,White	2023-06-22	1314.33	595283241	user02	2023-07-05	938929270	owner
GR0RVMPW4XI181018	REGAL	2002	detail; 	Buick	Excellent	Convertible	196	Gas	Black	2023-02-07	1662.35	234661232	user13	2023-03-07	009295495	user06
GTBYGLSYL1E755778	ALMERA	2004	minivan; four-wheel drive; 	Nissan	Good	Sedan	223	Gas	Brown	2022-08-08	3275.39	566053758	user24	2023-08-26	861158388	user03
GUSD5Z52ID6316641	CTS	2007	automatic transmission; pickup; 	Cadillac	Fair	Van	294	Gas	Pink	2023-04-01	5742.98	171405708	user13			
H0M0QQ4Q0FN101290	EMGRAND	2021		Geeley	Excellent	Convertible	179	Gas	Cream,Navy	2022-07-30	30198.71	283775388	user18	2022-11-01	131693048	user03
H2032G2DS5D863208	XC70	2009	innovative air bags; wide transaxle; 	Volvo	Excellent	Minivan	241	Diesel	Cream	2023-02-12	12188.28	903089507	user20			
H3NLVG1FUZX147919	PACIFICA	2008		Chrysler	Fair	CUV	277	Gas	Gold	2022-12-22	9163.91	510679263	user18	2023-04-26	633816225	owner
HD1EA820DKW043837	CAYMAN	2015		Porsche	Good	SUV	247	Gas	Red	2023-06-15	11483.78	410614165	user07			
HSJNIY2UV32447249	ZDX	2013	small spark plug gap; 	Acura	Fair	Minivan	194	Gas	Red	2023-01-22	12512.04	591437032	user18	2023-05-11	334676702	user06
HV4CWSMM84O846378	MURANO	2013	front wheel drive; 	Nissan	Good	Convertible	172	Fuel Cell	Blue	2023-02-10	18840.21	715402425	user10	2023-06-15	754703247	user04
I3M7NWUR0GJ946930	CIRRUS	2002	great engine; modern dashboard; engine displacement; 	Chrysler	Good	Van	309	Plugin Hybrid	Green	2023-08-10	1093.02	715402425	user11			
I7B0O1H2OO8586909	BOXSTER	2006	original equipment manufacturer (OEM) parts; oversteer; 	Porsche	Good	SUV	341	Gas	Tan	2023-01-01	7756.28	480355246	user24	2023-07-04	480355246	owner
IESD5FO6UYK261715	EVORA	2011	ultra new transmission; 	Lotus	Very Good	Coupe	314	Gas	Red	2023-08-14	7381.46	033375455	user21			
IFBMBJ1L600560567	RAM 1500 TRUCK	2007	engine displacement; 	Dodge	Very Good	Truck	274	Hybrid	Orange	2023-03-07	4722.46	725273337	user07			
IGCYVATVIYZ078682	C70	2011		Volvo	Fair	SUV	436	Gas	Brown	2023-03-19	5142.25	524692391	user12	2023-08-18	580630500	user23
IQV1YQ3IV7V327698	MATIZ	2011		Chevrolet	Very Good	SUV	353	Gas	Green,Turquoise	2023-02-16	4969.07	307192832	user05	2023-05-19	591437032	owner
ITNTBT3I3K1112168	300C	2014	overdrive; 	Chrysler	Excellent	Truck	329	Gas	Brown	2022-07-20	17317.89	526404326	user13	2023-06-15	510679263	user16
IVZVZYNIOWU741253	SAVANA 4500	2013		GMC	Excellent	Minivan	192	Gas	Metallic	2023-01-23	7749.18	139932987	user13			
IZ7QWUEGB3H617828	300M	2003	detail; 	Chrysler	Very Good	Coupe	237	Plugin Hybrid	Gray	2023-08-15	1572.80	491580595	user15	2023-08-23	031943406	user06
JCDM7P6FYYP189674	X6	2008	rear wheel drive; air filtration system; 	BMW	Fair	Convertible	193	Gas	Black,Gold,Pink	2023-03-07	2690.50	843028835	user10			
JDZCMB67NYJ067633	PANAMERA	2011	all passive safety features; 	Porsche	Good	CUV	240	Diesel	Red	2023-01-10	5386.66	983685043	user09	2023-05-21	538226089	user25
JQA3ZA51WW8465344	PATHFINDER	2003	wide chassis; 	Nissan	Good	CUV	239	Gas	Copper	2022-09-11	1734.99	275817531	user21			
